"","PC_K30_1.2_Me.degree","PC_K30_1.2_Me.betweenness","PC_K30_1.2_Me.closeness","PC_K30_1.2_Me.eigenCentrality","PC_K30_1.2_Me.nNeg","PC_K30_1.2_Me.nPos","PC_K30_1.2_Me.mutualInfo","PC_K30_1.2_Me.variance","PC_K30_1.2_Me.partialVar","PC_K70_1.2_Me.degree","PC_K70_1.2_Me.betweenness","PC_K70_1.2_Me.closeness","PC_K70_1.2_Me.eigenCentrality","PC_K70_1.2_Me.nNeg","PC_K70_1.2_Me.nPos","PC_K70_1.2_Me.mutualInfo","PC_K70_1.2_Me.variance","PC_K70_1.2_Me.partialVar"
"ENSSSCG00000034989",28,0.86218487394958,0.0151515151515152,0.667802850824942,20,8,0.0018947414447646,1.00189653760157,1,34,26.6,0.0166666666666667,0.707670530840369,5,29,0.00118798122106397,1.00118868715029,1
"ENSSSCG00000035152",25,0,0.0144927536231884,0.596484996430362,19,6,0.00128623813476789,1.00128706569381,1,45,38.475,0.0204081632653061,1,27,18,0.00113084316784742,1.00113148281208,1
"ENSSSCG00000035521",28,0.86218487394958,0.0151515151515152,0.667802850824942,9,19,0.00189474144476291,1.00189653760157,1,45,38.475,0.0204081632653061,0.999999999999999,19,26,0.00113084316784742,1.00113148281208,1
"ENSSSCG00000036049",28,0.86218487394958,0.0151515151515152,0.667802850824942,9,19,0.00189474144476312,1.00189653760157,1,28,0.484848484848485,0.0151515151515152,0.671655972621028,5,23,0.00132665551390651,1.00132753591063,1
"ENSSSCG00000036537",44,32.3181818181818,0.02,1,17,27,0.00157664841715593,1.00157789198072,1,28,1.1991341991342,0.0151515151515152,0.656366593574614,11,17,0.00119871418099447,1.00119943292602,1
"ENSSSCG00000037260",29,0.852380952380952,0.0153846153846154,0.714035226372966,13,16,0.00197105879985359,1.00197300261317,1,28,1.1991341991342,0.0151515151515152,0.656366593574614,11,17,0.00119871418099404,1.00119943292602,1
"ENSSSCG00000038492",44,32.3181818181818,0.02,1,28,16,0.0015766484171572,1.00157789198072,1,26,0,0.0147058823529412,0.613500982544153,17,9,0.000892494759012191,1.00089289315098,1
"ENSSSCG00000038508",44,32.3181818181818,0.02,1,28,16,0.00157664841715678,1.00157789198072,1,28,0.484848484848485,0.0151515151515152,0.671655972621027,24,4,0.00132665551390931,1.00132753591063,1
"ENSSSCG00000039272",29,0.852380952380952,0.0153846153846154,0.714035226372966,17,12,0.00197105879985465,1.00197300261317,1,28,0.484848484848485,0.0151515151515152,0.671655972621028,5,23,0.00132665551390931,1.00132753591063,1
"ENSSSCG00000039322",28,0.86218487394958,0.0151515151515152,0.667802850824943,20,8,0.00189474144476376,1.00189653760157,1,26,0,0.0147058823529412,0.613500982544153,10,16,0.000892494759012409,1.00089289315098,1
"ENSSSCG00000039862",29,0.852380952380952,0.0153846153846154,0.714035226372966,17,12,0.00197105879985486,1.00197300261317,1,34,26.6,0.0166666666666667,0.707670530840369,30,4,0.00118798122106526,1.00118868715029,1
"ENSSSCG00000048583",44,32.3181818181818,0.02,1,17,27,0.00157664841715636,1.00157789198072,1,28,0.484848484848485,0.0151515151515152,0.671655972621027,5,23,0.00132665551390845,1.00132753591063,1
"ENSSSCG00000051274",29,0.852380952380952,0.0153846153846154,0.714035226372966,13,16,0.00197105879985465,1.00197300261317,1,45,38.475,0.0204081632653061,1,19,26,0.00113084316784957,1.00113148281208,1
