"","x"
"420","ENSSSCG00000039413"
"421","ENSSSCG00000039488"
"422","ENSSSCG00000039651"
"423","ENSSSCG00000039684"
"424","ENSSSCG00000039793"
"425","ENSSSCG00000039815"
"426","ENSSSCG00000039842"
"427","ENSSSCG00000039922"
"428","ENSSSCG00000040001"
"429","ENSSSCG00000040111"
"430","ENSSSCG00000040123"
"431","ENSSSCG00000040524"
"432","ENSSSCG00000040579"
"433","ENSSSCG00000040607"
"434","ENSSSCG00000040673"
"435","ENSSSCG00000041552"
"436","ENSSSCG00000041566"
"437","ENSSSCG00000041738"
"438","ENSSSCG00000041966"
"439","ENSSSCG00000042225"
"440","ENSSSCG00000042259"
"441","ENSSSCG00000042350"
"442","ENSSSCG00000042679"
"443","ENSSSCG00000042892"
"444","ENSSSCG00000043118"
"445","ENSSSCG00000043182"
"446","ENSSSCG00000043748"
"447","ENSSSCG00000043816"
"448","ENSSSCG00000044588"
"449","ENSSSCG00000044755"
"450","ENSSSCG00000044768"
"451","ENSSSCG00000045249"
"452","ENSSSCG00000045443"
"453","ENSSSCG00000045701"
"454","ENSSSCG00000045782"
"455","ENSSSCG00000046041"
"456","ENSSSCG00000046684"
"457","ENSSSCG00000046736"
"458","ENSSSCG00000046803"
"459","ENSSSCG00000046808"
"460","ENSSSCG00000046822"
"461","ENSSSCG00000046890"
"462","ENSSSCG00000046917"
"463","ENSSSCG00000046937"
"464","ENSSSCG00000047075"
"465","ENSSSCG00000047137"
"466","ENSSSCG00000047429"
"467","ENSSSCG00000047677"
"468","ENSSSCG00000047878"
"469","ENSSSCG00000048554"
"470","ENSSSCG00000048845"
"471","ENSSSCG00000049005"
"472","ENSSSCG00000049125"
"473","ENSSSCG00000049216"
"474","ENSSSCG00000049399"
"475","ENSSSCG00000049445"
"476","ENSSSCG00000049467"
"477","ENSSSCG00000049475"
"478","ENSSSCG00000049491"
"479","ENSSSCG00000049854"
"480","ENSSSCG00000049992"
"481","ENSSSCG00000050498"
"482","ENSSSCG00000050616"
"483","ENSSSCG00000050623"
"484","ENSSSCG00000050747"
"485","ENSSSCG00000050750"
"486","ENSSSCG00000051054"
"487","ENSSSCG00000051187"
"488","ENSSSCG00000051274"
"489","ENSSSCG00000051296"
"490","ENSSSCG00000051361"
"491","ENSSSCG00000051428"
