"","PC_S70_2.3_Ec.degree","PC_S70_2.3_Ec.betweenness","PC_S70_2.3_Ec.closeness","PC_S70_2.3_Ec.eigenCentrality","PC_S70_2.3_Ec.nNeg","PC_S70_2.3_Ec.nPos","PC_S70_2.3_Ec.mutualInfo","PC_S70_2.3_Ec.variance","PC_S70_2.3_Ec.partialVar","PC_SNB_2.3_Ec.degree","PC_SNB_2.3_Ec.betweenness","PC_SNB_2.3_Ec.closeness","PC_SNB_2.3_Ec.eigenCentrality","PC_SNB_2.3_Ec.nNeg","PC_SNB_2.3_Ec.nPos","PC_SNB_2.3_Ec.mutualInfo","PC_SNB_2.3_Ec.variance","PC_SNB_2.3_Ec.partialVar"
"ENSSSCG00000035904",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163510141,1.00027995634396,1,44,0.623089983022071,0.00980392156862745,0.702896125992802,23,21,0.00556059672315534,1.00557608553682,1
"ENSSSCG00000036049",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163510141,1.00027995634396,1,70,74.2,0.0131578947368421,0.999999999999999,34,36,0.00439823205375098,1.00440791847218,1
"ENSSSCG00000038094",51,0.0149253731343284,0.0105263157894737,0.731327926698981,25,26,0.000208442132336067,1.00020846385789,1,59,62,0.0114942528735632,0.800398989212259,35,24,0.00528964557703643,1.00530366045256,1
"ENSSSCG00000038095",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.00027991716351102,1.00027995634396,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,22,22,0.00556059672315626,1.00557608553682,1
"ENSSSCG00000038492",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163511242,1.00027995634396,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,23,18,0.0051801776616931,1.00519361797973,1
"ENSSSCG00000039322",72,6.52186389059916,0.0135135135135135,0.999999999999999,37,35,0.000275725420950303,1.00027576343671,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,22,22,0.0055605967231584,1.00557608553682,1
"ENSSSCG00000039488",66,3.29218510851722,0.0125,0.933032609810252,30,36,0.000232072669417691,1.00023209960037,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,23,18,0.0051801776616931,1.00519361797973,1
"ENSSSCG00000039651",72,6.52186389059916,0.0135135135135135,0.999999999999999,36,36,0.000275725420949642,1.00027576343671,1,38,0,0.00925925925925926,0.547258677319926,22,16,0.00360530424055999,1.00361181116738,1
"ENSSSCG00000039842",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163510581,1.00027995634396,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,23,21,0.00556059672315803,1.00557608553682,1
"ENSSSCG00000041966",72,6.52186389059916,0.0135135135135135,0.999999999999999,37,35,0.000275725420948544,1.00027576343671,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,22,22,0.0055605967231584,1.00557608553682,1
"ENSSSCG00000042225",72,6.52186389059916,0.0135135135135135,1,36,36,0.000275725420948544,1.00027576343671,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,22,22,0.0055605967231577,1.00557608553682,1
"ENSSSCG00000045443",51,0.0149253731343284,0.0105263157894737,0.731327926698981,27,24,0.000208442132336726,1.00020846385789,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,19,22,0.00518017766169418,1.00519361797973,1
"ENSSSCG00000046937",51,0.0149253731343284,0.0105263157894737,0.731327926698981,27,24,0.000208442132336726,1.00020846385789,1,44,0.623089983022071,0.00980392156862745,0.702896125992802,22,22,0.00556059672315734,1.00557608553682,1
"ENSSSCG00000049399",66,3.29218510851722,0.0125,0.933032609810252,30,36,0.000232072669418791,1.00023209960037,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,19,22,0.00518017766169435,1.00519361797973,1
"ENSSSCG00000050623",72,6.52186389059916,0.0135135135135135,0.999999999999999,37,35,0.000275725420948765,1.00027576343671,1,70,74.2,0.0131578947368421,1,37,33,0.00439823205375367,1.00440791847218,1
"ENSSSCG00000050750",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.00027991716350992,1.00027995634396,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,19,22,0.00518017766169543,1.00519361797973,1
"ENSSSCG00000051054",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163509702,1.00027995634396,1,44,0.623089983022071,0.00980392156862745,0.702896125992802,22,22,0.00556059672315734,1.00557608553682,1
"ENSSSCG00000051361",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163509922,1.00027995634396,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,23,21,0.00556059672315751,1.00557608553682,1
"ENSSSCG00000051428",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163509922,1.00027995634396,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,22,22,0.00556059672315734,1.00557608553682,1
